Unnamed: 0,title,description,Unnamed: 3,Atributos <empresa terceira>,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,AI-PAVE-BR,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Atributos Multimidia,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
carrefouroficial||8500460,Geladeira Frost Free CRM43NB 386 Litros 2 Portas Duplex Consul,"Geladeira Consul 386 Litros 2 Portas Frost Free Duplex CRM43NB<br> Para quem gosta de praticidade na hora de organizar os alimentos dentro da geladeira, a Geladeira Frost Free Duplex CRM43NB 386 Litros, da Consul, é perfeita. <br> Ela tem aproximadamente 390 L de capacidade armazenamento e oito níveis diferentes para você regular as prateleiras que, ainda por cima, são rebatíveis e dobráveis para facilitar de jarras e garrafas.<br> <br> <br> Características:<br> Guarde todos os seus alimentos nessa geladeira que não precisa descongelar<br> Uma das maiores dores de cabeça de uma cozinha é descongelar a geladeira. É algo demorado, chato e ainda corre-se o risco de que os alimentos estraguem. <br> Por isso, essa geladeira Consul Frost Free Duplex é perfeita para você. Ela não precisa degelar, deixando a sua vida mais fácil na hora de cuidar da sua cozinha.<br> Muito espaço para você armazenar os seus alimentos da melhor maneira<br> Com capacidade de armazenagem de 386 litros, divididos em dois compartimentos, essa geladeira Consul é perfeita para quem precisa de espaços separados. Seja no compartimento principal, com cinco níveis mais a gaveta de legumes e as prateleiras nas portas; seja no freezer, que é um compartimento com dois níveis na parte superior, você terá espaço para guardar tudo que precisa e manter os alimentos sempre prontos para consumo.<br> <br> <br> Especificações técnicas:<br> Tipo de degelo: Frost Free<br> Quantidade de portas: 2<br> Capacidade Armazenagem:<br> Refrigerador: 294<br> Freezer: 92<br> Total: 386<br> Prateleiras: 3 prateleiras de vidro, sendo 1 dobrável<br> Bandejas: 1 Bandeja deslizante <br> Prateleira Dobrável: 1<br> Cestos:<br> Temperatura uniforme: X<br> Controle de temperatura Interno: NA<br> Controle de temperatura Externo: Eletrônico<br> Dreno de Gelo: NA<br> Porta-ovos: 2 x 6 Ovos<br> Pote Multiuso: Não<br> Gavetas: 1 Gaveta Legumes<br> Organizador de Frutas e Legumes: NA<br> Iluminação: LED<br> Forma de gelo: 2 x 18 gelos<br> Pés: Reguláveis<br> Porta reversível: Não<br> Puxadores: 2 Embutidos na Cabeceira<br> Eficiência Energética: A<br> Consumo aprox. de energia (kWh/mês): 55,8<br> Potência (watts): 160<br> Lâmpada (watts): N<br> <br> <br> Dimensões:<br> Altura: 184.6 cm<br> Largura: 62.1 cm<br> Profundidade: 73.1 cm<br> Peso: 64.5 kg<br> <br> <br> Garantia do Fornecedor de 12 Meses","{""capacidade_liquida_total"":""386 L"",""cor"":""Branco"",""marca"":""Consul"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",386 L,Branco,Consul,,Frost Free,127 V,2 Portas,,386 Litros,Não informado,Consul,Não informado,Frost Free,Não informado,2,386,Branco,Consul,Evox,Frost Free,110V,2 Portas,386L
lojasedmil||75084,Geladeira Electrolux DM84X Frost Free French Door 579 Litros Inox,"Com a geladeira frost free multi door da Electrolux não vai faltar elegância e modernidade na sua cozinha. Ela conta com 3 portas, o que oferece mais funcionalidades e espaço interno. A geladeira Electrolux possui prateleiras fast adapt que armazena e distribui os alimentos de forma harmônica e inteligente. Projetada pensando na sua saúde, essa geladeira inox conserva os alimentos na temperatura ideal, além de possui espaço de sobra para comporta-los. São 579 litros de capacidade total, distribuídos entre o refrigerador (391 litros) e freezer (188 litros). Deixe suas bebidas geladas a qualquer hora do dia com o compartimento Drink Express. O espaço Ice Twister disponibiliza gelos para que possa se refrescar sempre que precisar. O sistema frost free, presente na geladeira French Door, evita o acúmulo de gelo nas paredes do congelador, para que você não precise mais passar horas descongelando manualmente sua geladeira. Além disso, a geladeira 3 portas conta ainda com pés niveladores frontais e rodízios traseiros, garantindo maior comodidade no seu dia a dia. Organize seus ovos com segurança e praticidade graças ao seu porta ovos com capacidade para 12 unidades. A geladeira Electrolux super flexível foi projetada para adaptar e comportar tudo o que você precisa armazenar.","{""capacidade_liquida_total"":""579 L"",""cor"":""Inox"",""marca"":""Electrolux"",""quantidade_de_portas"":""3 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",579 L,Inox,Electrolux,,Frost Free,127 V,3 Portas,,579 Litros,Inox,Electrolux,Não informado,Frost Free,Não informado,3 portas,Não informado,Inox,Electrolux,Aço,Frost Free,110V,3 Portas,579L
lojaoriodopeixe||265,Geladeira Refrigerador Facilite Frost Free 1 Porta 342 Litros CRB39A Consul,"A geladeira/refrigerador 1 Porta Consul 342L possui Sistema Frost Free, assim não forma gelo nas paredes do congelador, portanto agora quem vai ocupar espaço no congelador são os alimentos e não o gelo. Possui uma super capacidade, trazendo muito mais espaço e organização com exclusiva prateleira de dois níveis de altura, além de um super controle eletrônico externo, que facilita o ajuste da temperatura e evita abertura de porta, economizando energia. Ele conta também com um compartimento Extra Frio, ideal para guardar frios e iogurtes, gavetão de legumes transparente que mantém a temperatura e umidade adequada para o armazenamento de frutas e hortaliças, preservando suas características naturais. Ela também conta com o Porta Latas para gelar até 6 latinhas, mantendo a organização da geladeira.","{""capacidade_liquida_total"":""342 L"",""cor"":""Branco"",""marca"":""Consul"",""quantidade_de_portas"":""1 Porta"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",342 L,Branco,Consul,,Frost Free,220 V,1 Porta,,342 Litros,Não informado,Consul,Não informado,Frost Free,Não informado,1 Porta,342L,Branco,Consul,,Frost Free,220V,1 Porta,342L
lojasmm||11324,Refrigerador Philco 2 Portas Side By Side 434 Litros PRF533ID,"Sua cozinha vai ficar muito mais bonita e organizada com a Geladeira Philco PRF533ID. Tem capacidade de 434 litros e porta Side by Side, você tem espaço de sobra para armazenar e organizar os alimentos da forma que quiser, acessando o que precisa a qualquer momento e sem dificuldades. Com degelo Frost Free ela possui painel touch, controle de temperatura independente, Funções smart cooling, eco, turbo freezer e turbo refrigerador. E tem mais, além de super espaçoso esse refrigerador conta com tecnologia de compressor inverter, isso significa que além das inúmeras vantagens ele possui baixo consumo de energia.<br> <br> Características: <br> Tipo: Side by side<br> Quantidade de Portas: 02<br> Frost Free<br> Painel Eletrônico<br> Prateleiras: 08<br> Alarme de Portas Abertas<br> Dispenser de Água na Porta: Externo<br> Dispenser de Gelo na Porta: Interno<br> Função Gelo Rápido<br> Degelo Automático<br> Porta Latas<br> Porta Garrafas<br> Controle Automático de Temperatura<br> Gavetas: 02<br> Pés Niveladores<br> Iluminação interna com luz led<br> Display digital com controle de temperatura e funções<br> Painel Touch<br> Compressor Eco-Inverter<br> Porta em aço com tratamento anti-corrosão<br> Prateleiras em vidro temperado<br> Modelo: PRF533ID<br> Capacidade Total: 434 Litros<br> Capacidade de Armazenamento do Freezer: 145 Litros<br> Capacidade de Armazenamento do Refrigerador: 289 Litros<br> Selo Procel (Eficiência Energética): A<br> Consumo de Energia: 44 kwh/mês<br> <br> Dimensões: <br> Altura: 177 cm <br> Largura: 91 cm <br> Profundidade: 59 cm<br> Peso: 80 kg <br> <br> Garantia do fornecedor de 12 meses.","{""capacidade_liquida_total"":""434 L"",""cor"":""Inox"",""marca"":""Philco"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",434 L,Inox,Philco,,Frost Free,220 V,2 Portas,,434 Litros,Não informado,Philco,Não informado,Frost Free,Não informado,2,434 Litros,Inox,Philco,Aço,Frost Free,220V,2 Portas,434L
dufrio||100240543,GeladeiraRefrigerador Frost Free 310 Litros Platinum Electrolux TF39S  220V,"    Geladeira / Refrigerador Frost Free 310 Litros Platinum Electrolux (TF39S)   <p>Sua cozinha merece um eletrodoméstico que dê conta de armazenar todos os seus alimentos, mantendo-os sempre refrigerados e prontos para servir seus amigos e familiares. A Geladeira/refrigerador Top Freezer 431L Platinum (TF55S) é um desses itens que consegue suprir as mais variadas necessidades. Esse modelo conta com o maior freezer do mercado, proporcionando espaço de sobra para você armazenar e congelar seus itens.</p>          <ul> <li>  <span>Prateleiras reversíveis e retráteis no freezer e no refrigerador</span> <p>Adapte o espaço interno para guardar os mais diversos tipo de embalagens e alimentos.</p>  </li> <li>  <span>Funções compras, férias, festa</span> <p>Escolhem automaticamente a temperatura ideal para cada situação.</p>  </li> <li>  <span>Gavetão de frutas e verduras</span> <p>Preserva frutas e verduras por mais tempo que gavetas comuns. *Teste aferido em folhas verdes.</p>  </li> </ul>            <span>Fast Adapt</span> <p>Prateleiras deslizantes que possibilitam variadas configurações internas da geladeira e freezer, otimiza o espaço de forma rápida e simples, organizando itens de diferentes tamanhos e formatos.</p>   <span>Icemax</span> <p>Compartimento para produção de gelo com exclusivo sistema sem respingos, sem mistura de odores e fácil de remover.</p>   <span>Turbo freezer e drink express</span> <p>Compartimento de congelamento rápido para alimentos e bebidas.</p>   <span>Maior freezer do mercado categoria Frost Free até 500 litros</span> <p>CSão 128 litros para conservar alimentos de diferentes tamanhos.</p>      ","{""capacidade_liquida_total"":""310 L"",""cor"":""Inox"",""marca"":""Electrolux"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",310 L,Inox,Electrolux,,Frost Free,220 V,,,310 Litros,Platinum,Electrolux,Não informado,Frost Free,220V,Não informado,Não informado,Inox,Electrolux,Aço,Frost Free,220V,2 Portas,310L
continentalcenter||760050052423050201,Refrigerador Consul Domest 2 Portas 437 Litros Platinum Frost Free 220v,Refrigerador Consul Domest 2 Portas 437 LitrosPlatinum Frost Free 220v,"{""capacidade_liquida_total"":""437 L"",""marca"":""Consul"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",437 L,,Consul,,Frost Free,220 V,2 Portas,,437 Litros,Platinum,Consul,Não informado,Frost Free,220v,2 Portas,Não informado,Platinum,Consul,Aço,Frost Free,220V,2 Portas,437L
magazineluiza||010082901,Refrigerador Duplex Cycle Defrost 365L,,"{""marca"":""Electrolux"",""tipo_de_degelo"":""Cycle Defrost"",""voltagem"":""127 V""}",,,Electrolux,,Cycle Defrost,127 V,,,365L,Não informado,Cycle,Não informado,Frost Free,Não informado,Duplex,Não informado,Cinza,Electrolux,,Cycle Defrost,110V,2 Portas,365L
lojascolombooficial||1574652,Geladeira Frost Free Inverse 588 Litros BRE85AB Brastemp,"Chegou a hora de trocar sua geladeira? Nós temos a opção perfeita para você. A Geladeira / Refrigerador Brastemp Frost Free - BRE85AB é inverse e possui duas portas, facilitando a sua vida no dia a dia. Na cor branca, ela é espaçosa, tendo a capacidade de 588 litros. Dessa forma, você consegue armazenar todos os seus alimentos com tranquilidade.<br> Além disso, o sistema twist ice advanced facilita a formação de gelo e como se isso não fosse suficiente, a tecnologia carbon air filter neutraliza odores indesejados no interior da geladeira. Espera aí que tem mais: você pode controlar a temperatura do refrigerador com o touch black, o que garante mais praticidade. Essa geladeira é perfeita, não é mesmo? Então vem comprar!<br> <br> Características:<br> Capacidade Total: 588 Litros<br> Capacidade do Refrigerador: 400 Litros<br> Capacidade do Freezer: 188 Litros<br> Portas: 02<br> Controle de temperatura: Sim<br> Turbo congelamento: Sim<br> Porta reversível: Não<br> Painel: Touch<br> Função trava painel: Sim<br> Aviso de porta aberta: Sim<br> Puxadores: Embutido<br> Iluminação interna: LED<br> Prateleira no refrigerador: Vidro<br> Forma de gelo: 2<br> Compartimento para gelo: Sim<br> Porta ovos: Sim (compartimento para 12 unidades)<br> Porta garrafas: Sim<br> Separador de garrafas: Sim<br> Gavetão para legumes: Sim<br> Taças nevadas: Sim<br> Pés: Ajustáveis com rodízios<br> Classificação Energética: A++<br> Consumo de energia: 68 kWh/mês<br> Material das gavetas: Plástico<br> Nível de ruído: 48 dB<br> Inverse: Sim<br> Prateleiras no Freezer: Sim<br> Cabo de alimentação: Inferior direito, considerando a visão frontal do produto<br> <br> Dimensões:<br> Altura: 187,9 cm <br> Largura: 83,7 cm<br> Profundidade: 79,1 cm<br> Peso: 99 kg<br> <br> Garantia do Fabricante: 12 meses<br> <br> Observações:<br> Confira as dimensões do produto e verifique se passará pela porta ou elevador do local da entrega.<br> As Lojas Colombo não se responsabilizará com o agendamento de assistência técnica, nem por eventuais custos relacionados com a instalação ou montagens","{""capacidade_liquida_total"":""588 L"",""cor"":""Branco"",""marca"":""Brastemp"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",588 L,Branco,Brastemp,,Frost Free,220 V,,,588 Litros,branca,Brastemp,Não informado,Frost Free,Não informado,2,588 Litros,Branco,Brastemp,Evox,Frost Free,220V,2 Portas,588L
magazineluiza||013081900,Geladeira/Refrigerador Brastemp Frost Free Evox,"A Geladeira Brastemp Frost Free Duplex BRM54 400 litros Evox possui o exclusivo compartimento Freeze Control, que conserva carnes por até 5 dias sem congelar e deixa tanto bebidas como frios e laticínios na temperatura ideal. Pelo Painel Eletrônico você acessa o Controle de Temperatura e os Modos Especiais: Compras, Festa e Férias. Conta ainda com Twist Ice, para desenformar e armazenar gelo facilmente. E para garantir que suas frutas e legumes fiquem mais conservadas e organizadas, esse refrigerador conta com o sistema Fresh Zone.","{""capacidade_liquida_total"":""400 L"",""cor"":""Evox"",""marca"":""Brastemp"",""material"":""Evox"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",400 L,Evox,Brastemp,Evox,Frost Free,220 V,2 Portas,,400 litros,Não informado,Brastemp,Não informado,Frost Free,Não informado,Duplex,Não informado,Cinza,Brastemp,Evox,Frost Free,220V,2 Portas,400L
magazineluiza||015152201,Refrigerador Consul Frost Free,,"{""marca"":""Consul"",""tipo_de_degelo"":""Frost Free""}",,,Consul,,Frost Free,,,,Não informado,Não informado,Consul,Não informado,Frost Free,Não informado,Não informado,Não informado,,Consul,,Frost Free,110V,2 Portas,386L
efacil||196325-14,"Refrigerador Horizontal 419 Litros Metalfrio DA420, Branco","<br>Características do produto:<br>Modelo: DA420<br>Capacidade Bruta: 419 Litros<br>Capacidade Líquida: 419 Litros<br>Faixa de Temperatura oC: 2 a 8oC e -18 a -22oC<br>Faixa de Temperatura°F: 35,6 a 46,4oF e -0,4 a -7,6°F<br>Frequência: 60 Hz<br>Características Construtivas Básicas e Acessórios:<br>Aplicação Logomarca Sim<br>Dreno: Frontal<br>Fechadura<br>Rodízio<br>Termostato Ajustável<br>Informações Técnicas Adicionais:<br>Potência: 293W<br>Classificação do Produto: Refrigerador / Congelador<br>Quantidade de Portas/Tampas: 2<br>Material Gabinete Externo: Aço Pré Pintado<br>Material Gabinete Interno: Aço Pré Pintado<br>Material da Moldura do Tanque: Plástico<br>Tipo de Abertura: Basculante<br>Tipo do Evaporador: Cold Wall (Tubo Chapa)<br>Tipo de Gás Refrigerante: R-134A<br>Tipo de Isolação: Poliuretano<br>Tipo de Pintura: Poliéster<br>Tipo de Puxador da Porta: Plástico<br>Tipo de Condensação: Forçada<br>Tipo de Controlador de Temperatura: Termostato Eletromecânico<br>Dimensões Aproximadas:<br>Produto Interno (LxPxA): 122,2 x 51,5 x 71,5 cm<br>Produto Externo (LxPxA): 133,1 x 69,0 x 94,4 cm<br>Produto embalado (LxPxA): 140,1 x 73,0 x 101,1 cm<br>Peso Aproximado Líquido: 69kg<br>Bruto: 85kg<br>Garantia: 1 Ano (ofertada pelo fabricante)<br>SAC - Fornecedor<br>Metalfrio<br>Telefone: 0800 702-0052<br><br>","{""capacidade_liquida_total"":""419 L"",""cor"":""Branco"",""marca"":""Metalfrio"",""quantidade_de_portas"":""2 Portas"",""voltagem"":""Bivolt""}",419 L,Branco,Metalfrio,,,Bivolt,2 Portas,,419 Litros,Branco,Metalfrio,Aço Pré Pintado,Não informado,Não informado,2,419 Litros,Branco,Metalrio,Aço,Frost Free,220V,2 Portas,419L
homepoint||SG5897,Refrigerador Philco Side By Side PRF533ID Eco Inverter 434 Litros,"PRINCIPAIS CARACTERÍSTICAS:<br>O Refrigerador Eco Inverter Philco Side By Side PRF533ID 434 Litros possui design “Side By Side”, onde refrigerador e freezer estão lado a lado para garantir maior aproveitamento do espaço vertical, assim, aumentando a eficiência em conjunto da tecnologia Smart Cooling, que distribui de maneira uniforme a temperatura por todo refrigerador e freezer, sem ter o acúmulo de gelo garantindo melhor higiene e conservação dos alimentos. Sem falar no compressor Inverter, que não gera picos de funcionamento e ajuda na economia de energia. As temperaturas são facilmente configuradas a partir do painel digital. Cujo display, possui diversas funções e configurações para você alterar as preferências tanto do freezer quanto do refrigerador. Garantindo que o Refrigerador sempre atenderá suas necessidades quando precisar. Além de tornar sua cozinha muito mais atraente e completa!<br><br>ESPECIFICAÇÕES DO PRODUTO:<br>• Voltagem: 220v<br>• Capacidade de 434L (289L no refrigerador e 145L no freezer)<br>• Classificação ""A"" em eficiência energética<br>• Sistema de refrigeração Frost Free<br>• Side by side (freezer na porta esquerda e refrigerador na porta direita)<br>• Dispenser de água na porta com abastecimento manual (3L de capacidade)<br>• Painel touch <br>• Controle de temperatura do freezer e refrigerador de forma independente<br>• Freezer com temperaturas de -14°C a -22°C<br>• Refrigerador com temperaturas de 2 a 8°C<br>• Funções Smart, Eco, turbo freezer e turbo refrigerador<br>• Alarme de porta aberta<br>• Iluminação interna LED<br>• Porta em aço com tratamento anti-corrosão<br>• Prateleiras em vidro temperado<br>•Divisão do refrigerador: 4 prateleiras, 2 gavetas, 3 prateleiras de porta e reservatório de água<br>• Divisão do freezer: 4 prateleiras, 2 gavetas e 4 prateleiras de porta<br>• Compressor inverter<br>• Garantia de 12 meses contra defeito de fabricação<br><br>IMAGENS MERAMENTE ILUSTRATIVAS","{""capacidade_liquida_total"":""434 L"",""marca"":""Philco"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",434 L,,Philco,,Frost Free,220 V,,,434 Litros,Não informado,Philco,Aço,Frost Free,220v,Não informado,434L,,Philco,Aço,Frost Free,220V,2 Portas,434L
lojasedmil||75813,Geladeira Consul CRB39AK Frost Free 1 Porta 342 Litros Evox,"A geladeira consul CRB39 conta com um design discreto e alta capacidade no congelador para facilitar ainda mais o seu dia a dia. Ela é a primeira geladeira frost free do mercado com 1 porta. Seu sistema frost free vai facilitar sua rotina na cozinha, pois com ele o refrigerador consul não junta gelo nas paredes internas e nem molha o chão na hora da limpeza. O controle de temperatura é externo, para que você selecione a temperatura de acordo com a sua necessidade e preferência sem precisar abrir a porta, economizando tempo e reduzindo o consumo de energia do produto. Seu compartimento extra-frio é perfeito para guardar aqueles alimentos que precisam de maior refrigeração, como queijos, frios e iogurtes. Seu freezer possui capacidade para até 47 litros e sua geladeira conta com 295 litros, totalizando 342 litros. Além de todos esses benefícios, a geladeira consul frost free possui ainda 1 gavetão para frutas e legumes, porta latas e pés niveladores. Distribua os alimentos de forma organizada com a geladeira 1 porta, pois ela possui 3 prateleiras no refrigerador, 1 no freezer e 4 na porta.","{""capacidade_liquida_total"":""342 L"",""marca"":""Consul"",""material"":""Evox"",""quantidade_de_portas"":""1 Porta"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",342 L,,Consul,Evox,Frost Free,127 V,1 Porta,,342 Litros,Não informado,Consul,Não informado,Frost Free,Não informado,1 Porta,Não informado,Evox,Consul,Evox,Frost Free,110V,1 Porta,342L
magazineluiza||010056100,Refrigerador Duplex Titanium Frost Free 453 Litros,,"{""capacidade_liquida_total"":""453 L"",""marca"":""Mabe"",""tipo_de_degelo"":""Frost Free""}",453 L,,Mabe,,Frost Free,,,,453 Litros,Titanium,Não informado,Não informado,Frost Free,Não informado,Duplex,Não informado,Titânio,Mabe,,Frost Free,110V,2 Portas,453L
lojasguaibim1||900614,Refrigerador Panasonic Frost Free Duplex 483L NR-BT55PV2X,"O refrigerador Panasonic Frost Free Duplex Inverter 483L NR-BT55PV2X Inox garante sofisticação a sua cozinha.<br><br>Economia de energia com Inverter<br>Além da economia de mais de 43% refletida na conta de luz, a tecnologia Inverter também deixa as geladeiras mais silenciosas e com o congelamento mais rápido, já que regula o compressor de acordo com a temperatura que varia com o abre e fecha da porta e com a quantidade de comida.<br><br>Geladeira livre de bactérias com Sistema Antibacteria*<br>Mantenha sua geladeira e alimentos livres de bactérias com o sistema Antibacteria. Por meio da combinação entre a luz azul e um filtro de nanopartículas de prata, a geladeira Panasonic reproduz um efeito natural que elimina 99,99% das bactérias nocivas à saúde.<br><br>Monitoramento de uso diário com Econavi<br>Economize ainda mais energia*. O Econavi monitora o uso da geladeira Panasonic no seu dia a dia, fazendo com que ela funcione de acordo com a rotina da casa e economizando energia através de sensores de abertura de portas, luminosidade (interna e externa) e temperatura.<br><br>Nutrientes potencializados com Vitamin Power*<br>A geladeira Panasonic BT55 potencializa os nutrientes dos alimentos. Isso porque ela possui a gaveta Fresh Zone com Vitamin Power, que intensifica as vitaminas C e D por meio de luzes LED especiais.<br><br>Gavetão de hortifrúti<br>Tenha mais espaço para organizar suas frutas e legumes e os mantenham mais frescos por mais tempo.<br><br>Compartimento Extrafrio<br>Conserve melhor os alimentos como carne, frios e laticínios.<br><br>Atenção:<br><br>1. Verifique a voltagem correta para o seu equipamento. Grande parte dos eletrodomésticos no Brasil está disponível em duas voltagens: 110V ou 220V. Certifique-se qual a voltagem de sua residência e selecione o produto conforme essa especificação.<br>2. Devido às normas da ABNT e às resoluções no 13 de 2006, no 2 de 2007 e no 8 de 2009 do CONMETRO, os fabricantes estão mudando as tomadas para o novo padrão. Para utilizar este produto, será preciso adaptador ou a troca da tomada antiga. Não nos responsabilizamos por esta alteração.","{""capacidade_liquida_total"":""483 L"",""cor"":""Inox"",""marca"":""Panasonic"",""material"":""Inox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",483 L,Inox,Panasonic,Inox,Frost Free,220 V,,,483L,Inox,Panasonic,Não informado,Frost Free,Não informado,Duplex,Não informado,Inox,Panasonic,,Frost Free,220V,2 Portas,483L
samsung||6023,Geladeira Duplex Inverse Evolution SmartThings Samsung  RB50 Black Inox 462L,"Geladeira Samsung BMF SmartThings 462L Black Inox All-around CoolingTM Para preservar os alimentos na condição ideal, o sistema All-around CoolingTM refrigera igualmente todos os compartimentos através de várias saídas de ar. Assim, a temperatura se mantém uniforme e constante, colaborando para a conservação dos alimentos. Power Freeze Permite congelar e resfriar rapidamente alimentos e bebidas, ao toque de um botão. Ideal para congelar alimentos e fazer gelo mais rápido. Fábrica de gelo Twist Saborear uma bebida acompanhada de cubos de gelo é muito bom. Basta girar o suporte para que o gelo caia em um reservatório.","{""cor"":""Inox"",""marca"":""Samsung"",""material"":""Inox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",,Inox,Samsung,Inox,Frost Free,127 V,,,462L,Black Inox,Samsung,Não informado,Frost Free,Não informado,Duplex,462L,Preto e Inox,Samsung,Inox,Frost Free,110V,2 Portas,462L
multiloja||36141,Geladeira Electrolux IF43S Frost Free Inverter Duplex 390L,"Preserve melhor seus alimentos e evite desperdícios com a Geladeira Electrolux Duplex Frost Free Efficient IF43S. Com exclusiva Tecnologia AutoSense, controla a temperatura automaticamente usando Inteligência Artificial e prolonga a vida dos alimentos por até 30 mais tempo. Sua Tecnologia Inverter mantém a temperatura mais estável, garantindo condições ideais para preservar seus alimentos e economia de até 30 de energia. Como diferencial, também possui uma prateleira deslizante que possibilita diferentes configurações internas e melhor organização dos alimentos.<br> <br> <br> Características:<br> Material em Inox<br> Painel Digital<br> Tecnologia Inverter<br> Capacidade do Refrigerador de 293L<br> Capacidade do freezer de 97L<br> Capacidade total de 390L<br> Refrigerador com 7 prateleiras e 1 gaveta<br> Freezer com 3 prateleiras<br> Gás Refrigerante R600A<br> Prateleira FastAdapt<br> Separador de Garrafas<br> Porta-Condimentos<br> Porta ovos<br> Forma de gelo<br> Luz de LED<br> Gaveta HortiNatura<br> Nível de Ruído 48 dB<br> Inmetro - 005404/2016<br> <br> <br> Dimensões:<br> Altura: 176,9 cm<br> Largura: 60 cm<br> Profundidade: 71,7 cm<br> Peso: 55,90 kg<br> <br> <br> Garantia do fornecedor de 12 meses","{""cor"":""Inox"",""marca"":""Electrolux"",""material"":""Inox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",,Inox,Electrolux,Inox,Frost Free,127 V,,,390L,Não informado,Electrolux,Inox,Frost Free,Não informado,2,390L,Inox,Electrolux,Inox,Frost Free,110V,2 Portas,390L
mega-mamute||13276,Geladeira Consul Cycle Defrost Duplex Branco 334L CRD37 110V,"A Geladeira/Refrigerador CRD37 EBANA da Consul conta com mais espaço interno para você guardar seus alimentos, além de freezer com 76 litros de capacidade. Possui controle eletrônico de temperatura, gerando mais economia de energia, o amplo freezer e a prateleira na porta facilita a organização dos seus alimentos congelados. Conta com gavetão de legumes onde você irá organizar e visualizar melhor os alimentos. Tem grande economia de energia e possui classificação A, o que garante seu baixo consumo de energia. As prateleiras são removíveis e reguláveis com muito mais facilidade na hora de limpar! Essa geladeira possui 334 litros de capacidade total, tem tecnologia Cycle Defrost, para que você precise descongelar a geladeira apenas 2 vezes ao ano. Ela possui também 15 níveis de altura, para ajustar as prateleiras e ter o melhor aproveitamento do espaço interno e o compartimento Gelo Extra, que permite armazenar mais gelo no freezer. Além disso conta com 2 portas, uma para o congelador e outra para a geladeira facilitando assim o seu dia-a-dia.","{""capacidade_liquida_total"":""334 L"",""cor"":""Branco"",""marca"":""Consul"",""tipo_de_degelo"":""Cycle Defrost"",""voltagem"":""127 V""}",334 L,Branco,Consul,,Cycle Defrost,127 V,,,334L,Branco,Consul,Não informado,Cycle Defrost,110V,2,334 litros,Branco,Consul,,Cycle Defrost,110V,2 Portas,334L
efacil||192956-75,"Refrigerador Electrolux, 260 Litros DC35A, Cycle Defrost, 2 Portas, Branco","A geladeira Electrolux Cycle Defrost DC35A possui um design único e moderno, com puxador ergonômico e integrado, que é embutido e super fácil de limpar. O modelo é duplex, com degelo manual na cor branca, que combina com qualquer cozinha. Sua capacidade líquida é de 260 litros e tem um super freezer com capacidade 53 litros que atinge até -18oC que garante a qualidade dos alimentos congelados por mais tempo. O refrigerador contém vários tipos de compartimentos para você deixar tudo organizado. Ele conta com um trava-garrafas na porta do refrigerador, que evita que as bebidas tombem no seu interior e líquidos sejam derramados. Tem também o porta-ovos para 12 unidades que garante melhor distribuição do espaço interno de ainda é removível, isso ajuda na hora da limpeza. Conta também com gavetão transparente para frutas e legumes e prateleiras removíveis, sendo assim você pode regular a altura da maneira que preferir e guardar alimentos volumosos sem problemas. O modelo ainda tem um porta latas reversível para 05 unidades. Ideal para tornar seu dia a dia muito mais prático e sua cozinha ainda mais moderna.","{""capacidade_liquida_total"":""260 L"",""cor"":""Branco"",""marca"":""Electrolux"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Cycle Defrost"",""voltagem"":""220 V""}",260 L,Branco,Electrolux,,Cycle Defrost,220 V,2 Portas,,260 Litros,Branco,Electrolux,Não informado,Cycle Defrost,Não informado,2 Portas,Não informado,Branco,Electrolux,,Cycle Defrost,220V,2 Portas,260L
